item_id,title,object_type,space,price,area_price,address,metro,time_to_metro,published_raw,published_date,source_page_number,collected_at,url
7994575177,"2-к. квартира, 51,8 м², 3/9 эт.",2-к. квартира,51,9 080 000 ₽,175 290 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_518_m_39_et._7994575177?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7920063152,"2-к. квартира, 60,5 м², 5/9 эт.",2-к. квартира,60,8 971 406 ₽,148 288 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_605_m_59_et._7920063152?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8105325467,"1-к. квартира, 36,9 м², 12/22 эт.",1-к. квартира,36,6 266 200 ₽,169 816 ₽,,Рыбацкое,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_369_m_1222_et._8105325467?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8151674653,"Квартира-студия, 24,3 м², 13/25 эт.",Квартира-студия,24,7 850 000 ₽,323 045 ₽,"Кондратьевский пр-т, 68к4",Площадь Мужества,от 31 мин.,1 час назад,05.05.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_243_m_1325_et._8151674653?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7952386463,"1-к. квартира, 61,5 м², 21/25 эт.",1-к. квартира,61,13 805 857 ₽,224 485 ₽,"ул. Руднева, д. 18",Проспект Просвещения,21–30 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_615_m_2125_et._7952386463?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8061634818,"Квартира-студия, 25,5 м², 13/16 эт.",Квартира-студия,25,8 760 000 ₽,343 529 ₽,"Комендантский пр-т, 60к3",Комендантский проспект,от 31 мин.,Вчера,04.05.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_255_m_1316_et._8061634818?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
4183993961,"3-к. апартаменты, 74,3 м², 2/17 эт.",3-к. апартаменты,74,12 003 908 ₽,161 560 ₽,,Улица Дыбенко,21–30 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._apartamenty_743_m_217_et._4183993961?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8098685157,"Квартира-студия, 22 м², 2/6 эт.",Квартира-студия,22,3 980 000 ₽,180 909 ₽,"ул. Академика Лебедева, 14/2",Площадь Ленина,6–10 мин.,3 дня назад,02.05.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_22_m_26_et._8098685157?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7892059843,"2-к. квартира, 59,2 м², 3/12 эт.",2-к. квартира,59,20 200 389 ₽,341 223 ₽,,Елизаровская,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_592_m_312_et._7892059843?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7968758352,"1-к. квартира, 33,3 м², 4/11 эт.",1-к. квартира,33,3 785 269 ₽,113 672 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg_krasnoye_selo/kvartiry/1-k._kvartira_333_m_411_et._7968758352?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8172907629,"1-к. квартира, 31,1 м², 3/5 эт.",1-к. квартира,31,6 500 000 ₽,209 003 ₽,"ул. Верности, 20",Академическая,16–20 мин.,5 часов назад,05.05.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_311_m_35_et._8172907629?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7246816972,"3-к. квартира, 72,2 м², 22/22 эт.",3-к. квартира,72,21 898 260 ₽,303 300 ₽,"пр-т Товарищеский, д. 38",Улица Дыбенко,16–20 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_722_m_2222_et._7246816972?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7892765343,"3-к. квартира, 88,9 м², 1/12 эт.",3-к. квартира,88,24 000 200 ₽,269 969 ₽,,Комендантский проспект,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_889_m_112_et._7892765343?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7968764073,"Квартира-студия, 25,5 м², 8/11 эт.",Квартира-студия,25,3 789 399 ₽,148 604 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg_kolpino/kvartiry/kvartira-studiya_255_m_811_et._7968764073?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8151044818,"2-к. квартира, 44,6 м², 2/5 эт.",2-к. квартира,44,6 700 000 ₽,150 224 ₽,"Пискарёвский пр-т, 17к3",Ладожская,от 31 мин.,7 часов назад,05.05.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_446_m_25_et._8151044818?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7696785530,"1-к. квартира, 33,5 м², 10/12 эт.",1-к. квартира,33,6 284 938 ₽,187 610 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_335_m_1012_et._7696785530?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8065271599,"3-к. квартира, 75,2 м², 2/12 эт.",3-к. квартира,75,13 416 185 ₽,178 407 ₽,,Звёздная,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_752_m_212_et._8065271599?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7993396102,"Квартира-студия, 24,7 м², 2/4 эт.",Квартира-студия,24,5 700 000 ₽,230 769 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_247_m_24_et._7993396102?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7662362617,"1-к. квартира, 31,9 м², 2/22 эт.",1-к. квартира,31,6 640 623 ₽,208 170 ₽,,Академическая,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_319_m_222_et._7662362617?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7897458693,"Апартаменты-студия, 38 м², 6/6 эт.",Апартаменты-студия,38,5 490 000 ₽,144 474 ₽,"ул. Отважных, 10",Проспект Ветеранов,от 31 мин.,22 января 15:57,22.01.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_38_m_66_et._7897458693?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8088986621,"Квартира-студия, 24,7 м², 4/6 эт.",Квартира-студия,24,4 990 000 ₽,202 024 ₽,"пер. Ульяны Громовой, 1/13",Площадь Восстания,до 5 мин.,7 дней назад,28.04.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_247_m_46_et._8088986621?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7968587291,"2-к. квартира, 64,4 м², 6/17 эт.",2-к. квартира,64,7 511 616 ₽,116 640 ₽,,Рыбацкое,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_644_m_617_et._7968587291?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8150608895,"1-к. квартира, 31,2 м², 5/5 эт.",1-к. квартира,31,6 580 000 ₽,210 897 ₽,"пр-т Шаумяна, 46",Новочеркасская,6–10 мин.,2 часа назад,05.05.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_312_m_55_et._8150608895?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7950011734,"1-к. квартира, 37,7 м², 23/25 эт.",1-к. квартира,37,9 693 801 ₽,257 130 ₽,,Ломоносовская,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_377_m_2325_et._7950011734?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7980813965,"1-к. квартира, 35,6 м², 5/9 эт.",1-к. квартира,35,6 949 999 ₽,195 225 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_356_m_59_et._7980813965?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8020594800,"Квартира-студия, 22,5 м², 20/22 эт.",Квартира-студия,22,4 550 149 ₽,202 229 ₽,,Рыбацкое,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_225_m_2022_et._8020594800?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7572703918,"1-к. квартира, 33,2 м², 4/12 эт.",1-к. квартира,33,9 500 044 ₽,286 146 ₽,,Озерки,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_332_m_412_et._7572703918?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7968115741,"2-к. квартира, 63,6 м², 4/18 эт.",2-к. квартира,63,7 541 584 ₽,118 578 ₽,,Рыбацкое,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_636_m_418_et._7968115741?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7577144349,"Апартаменты-студия, 40,6 м², 6/6 эт.",Апартаменты-студия,40,4 926 000 ₽,121 330 ₽,"ул. Отважных, 10",Проспект Ветеранов,от 31 мин.,14 августа 2025,14.08.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_406_m_66_et._7577144349?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7968707716,"2-к. квартира, 54,7 м², 11/12 эт.",2-к. квартира,54,7 907 614 ₽,144 563 ₽,,,,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_547_m_1112_et._7968707716?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7622989069,"Квартира-студия, 23,8 м², 4/13 эт.",Квартира-студия,23,10 489 954 ₽,440 754 ₽,,Лесная,11–15 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_238_m_413_et._7622989069?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8132968128,"Квартира-студия, 21,6 м², 1/12 эт.",Квартира-студия,21,10 596 960 ₽,490 600 ₽,,Приморская,21–30 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_216_m_112_et._8132968128?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8063757641,"3-к. квартира, 106,6 м², 17/17 эт.",3-к. квартира,106,21 531 798 ₽,201 987 ₽,,Комендантский проспект,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_1066_m_1717_et._8063757641?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7470875212,"1-к. квартира, 32,8 м², 6/22 эт.",1-к. квартира,32,6 166 728 ₽,188 010 ₽,,Гражданский проспект,от 31 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_328_m_622_et._7470875212?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8057299796,"Апартаменты-студия, 23,4 м², 1/6 эт.",Апартаменты-студия,23,4 990 000 ₽,213 248 ₽,"Прилукская ул., 35",Обводный канал,11–15 мин.,3 недели назад,14.04.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_234_m_16_et._8057299796?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8060342685,"2-к. квартира, 47 м², 5/5 эт.",2-к. квартира,47,7 000 000 ₽,148 936 ₽,"ул. Софьи Ковалевской, 10к4",Академическая,6–10 мин.,Вчера,04.05.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_47_m_55_et._8060342685?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
3479404389,"1-к. квартира, 38,8 м², 4/14 эт.",1-к. квартира,38,16 890 000 ₽,435 309 ₽,,Волковская,16–20 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_388_m_414_et._3479404389?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
8075463854,"1-к. квартира, 35,4 м², 4/14 эт.",1-к. квартира,35,7 400 000 ₽,209 040 ₽,"ул. Седова, 58",Елизаровская,16–20 мин.,1 неделю назад,28.04.2026,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_354_m_414_et._8075463854?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7246210203,"3-к. квартира, 73,4 м², 13/22 эт.",3-к. квартира,73,22 407 552 ₽,305 280 ₽,"пр-т Товарищеский, д. 38",Улица Дыбенко,16–20 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_734_m_1322_et._7246210203?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
7902202703,"Апартаменты-студия, 17,7 м², 9/16 эт.",Апартаменты-студия,17,5 600 000 ₽,316 384 ₽,,Звёздная,6–10 мин.,,,1,2026-05-05T22:41:30,https://www.avito.ru/sankt-peterburg/kvartiry/apartamenty-studiya_177_m_916_et._7902202703?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJRam5tMTFIQ3g0cnpPT0xNIjt9jWU5tj8AAAA
